"location","city","country","distance","measurements__parameter","measurements__value","measurements__lastUpdated","measurements__unit","measurements__sourceName","measurements__averagingPeriod__value","measurements__averagingPeriod__unit","coordinates__latitude","coordinates__longitude"
"","","","","so2","3.5","2017-07-20T22:00:00.000Z","µg/m³","EEA Belgium","1","hours","",""
"","","","","co","12","2017-07-20T21:00:00.000Z","µg/m³","EEA Belgium","1","hours","",""
"41R012 - UCCLE","Brussels","BE","3482137.583492582","pm10","14.5","2017-07-20T22:00:00.000Z","µg/m³","EEA Belgium","1","hours","50.79663","4.3585386"
"","","","","pm25","5.45","2017-07-20T22:00:00.000Z","µg/m³","EEA Belgium","1","hours","",""
"","","","","o3","49.5","2017-07-20T22:00:00.000Z","µg/m³","EEA Belgium","1","hours","",""
"","","","","so2","2","2017-07-20T22:00:00.000Z","µg/m³","EEA Belgium","1","hours","",""
"","","","","no2","5","2017-07-20T22:00:00.000Z","µg/m³","EEA Belgium","1","hours","",""
"41WOL1 - WOL.ST.L.","Brussels","BE","3477464.426897468","co","10","2017-07-20T22:00:00.000Z","µg/m³","EEA Belgium","1","hours","50.85658","4.4257035"
"","","","","o3","48","2017-07-20T22:00:00.000Z","µg/m³","EEA Belgium","1","hours","",""
"","","","","pm10","11","2017-07-20T22:00:00.000Z","µg/m³","EEA Belgium","1","hours","",""
"","","","","no2","12","2017-07-20T22:00:00.000Z","µg/m³","EEA Belgium","1","hours","",""
"","","","","so2","4","2017-07-20T22:00:00.000Z","µg/m³","EEA Belgium","1","hours","",""
"42M802 - ANTWERPEN","Flanders","BE","3478184.748463985","pm25","6","2017-07-20T22:00:00.000Z","µg/m³","EEA Belgium","1","hours","51.26099","4.424399"
"","","","","pm10","17.7","2017-07-20T22:00:00.000Z","µg/m³","EEA Belgium","1","hours","",""
"","","","","so2","3.5","2017-03-14T11:00:00.000Z","µg/m³","EEA Belgium","1","hours","",""
"","","","","no2","15.5","2017-07-20T22:00:00.000Z","µg/m³","EEA Belgium","1","hours","",""
"42N016 - DESSEL","Flanders","BE","3426632.2042748597","so2","1","2017-07-20T22:00:00.000Z","µg/m³","EEA Belgium","1","hours","51.233654","5.163979"
"","","","","o3","50.5","2017-07-20T22:00:00.000Z","µg/m³","EEA Belgium","1","hours","",""
"","","","","no2","10","2017-07-20T22:00:00.000Z","µg/m³","EEA Belgium","1","hours","",""
"","","","","pm25","5","2017-07-20T22:00:00.000Z","µg/m³","EEA Belgium","1","hours","",""
"","","","","pm10","15.7","2017-07-20T22:00:00.000Z","µg/m³","EEA Belgium","1","hours","",""
"42N027 - BREE","Flanders","BE","3395437.461146843","o3","47","2017-07-20T22:00:00.000Z","µg/m³","EEA Belgium","1","hours","51.133717","5.6066594"
"","","","","no2","13.5","2017-07-20T22:00:00.000Z","µg/m³","EEA Belgium","1","hours","",""
"42N035 - AARSCHOT","Flanders","BE","3448753.360591056","o3","56.5","2017-07-20T22:00:00.000Z","µg/m³","EEA Belgium","1","hours","50.977543","4.837618"
"","","","","no2","6","2017-07-20T22:00:00.000Z","µg/m³","EEA Belgium","1","hours","",""
"","","","","pm10","14.7","2017-07-20T22:00:00.000Z","µg/m³","EEA Belgium","1","hours","",""
"","","","","pm25","4.5","2017-07-20T22:00:00.000Z","µg/m³","EEA Belgium","1","hours","",""
"","","","","so2","0","2017-07-20T22:00:00.000Z","µg/m³","EEA Belgium","1","hours","",""
"42N040 - ST.P.LEEUWG","Flanders","BE","3491501.7866927255","no2","6","2017-07-20T22:00:00.000Z","µg/m³","EEA Belgium","1","hours","50.76814","4.2251945"
"","","","","o3","48","2017-07-20T22:00:00.000Z","µg/m³","EEA Belgium","1","hours","",""
"42N045 - HASSELT","Flanders","BE","3411489.0585208638","o3","2.5","2017-01-06T10:00:00.000Z","µg/m³","EEA Belgium","1","hours","50.939713","5.3683786"
"","","","","no2","49.5","2017-01-06T10:00:00.000Z","µg/m³","EEA Belgium","1","hours","",""
"","","","","so2","1","2017-01-06T10:00:00.000Z","µg/m³","EEA Belgium","1","hours","",""
"","","","","pm10","38.7","2017-01-06T10:00:00.000Z","µg/m³","EEA Belgium","1","hours","",""
"","","","","pm25","25","2017-01-06T10:00:00.000Z","µg/m³","EEA Belgium","1","hours","",""
"42N046 - GELLIK","Flanders","BE","3393769.489838498","no2","5","2017-07-20T22:00:00.000Z","µg/m³","EEA Belgium","1","hours","50.882298","5.618874"
"","","","","o3","45.5","2017-07-20T22:00:00.000Z","µg/m³","EEA Belgium","1","hours","",""
"42N054 - WALSHOUTEM","Flanders","BE","3429652.687716414","o3","38","2017-07-20T22:00:00.000Z","µg/m³","EEA Belgium","1","hours","50.711704","5.1031585"
"","","","","no2","13","2017-07-20T22:00:00.000Z","µg/m³","EEA Belgium","1","hours","",""
"","","","","pm25","4","2017-07-20T22:00:00.000Z","µg/m³","EEA Belgium","1","hours","",""
"","","","","pm10","16.2","2017-07-20T22:00:00.000Z","µg/m³","EEA Belgium","1","hours","",""
"42R010 - ST.STEVENSW","Flanders","BE","3477281.1181666977","no2","6.5","2017-07-20T22:00:00.000Z","µg/m³","EEA Belgium","1","hours","50.86511","4.428427"
"42R020 - VILVOORDE","Flanders","BE","3476780.976483414","no2","6","2017-07-20T22:00:00.000Z","µg/m³","EEA Belgium","1","hours","50.941387","4.436721"
"","","","","so2","0","2017-07-20T22:00:00.000Z","µg/m³","EEA Belgium","1","hours","",""
"","","","","pm25","4.5","2017-07-20T22:00:00.000Z","µg/m³","EEA Belgium","1","hours","",""
